contract_transaction_unique_key,award_id_piid,recipient_name,awarding_agency_name,awarding_sub_agency_name,product_or_service_code_description,naics_description,action_date,federal_action_obligation,total_dollars_obligated,extent_competed,type_of_contract_pricing,award_type
3600_3600_36C10X21N0185_P00005_36C10X19D0003_0,36C10X21N0185,"VETERANS EVALUATION SERVICES, INC",Department of Veterans Affairs,Department of Veterans Affairs,MEDICAL- EVALUATION/SCREENING,OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),2024-08-23,-9854954.08,90999999.92,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24122N0754_P00002_36C24121D0005_0,36C24122N0754,YALE UNIV,Department of Veterans Affairs,Department of Veterans Affairs,HEALTH R&D SERVICES; HEALTH CARE SERVICES; APPLIED RESEARCH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2023-10-25,-1874.43,79202.07,NOT COMPETED,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24124K0035_0_36C24123D0028_0,36C24124K0035,LUTHERAN HOUSING CORPORATION - BROCKTON,Department of Veterans Affairs,Department of Veterans Affairs,MEDICAL- NURSING HOME CARE CONTRACTS,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),2023-10-19,259219.75,259219.75,NOT COMPETED,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,DELIVERY ORDER
3600_3600_36C24124K0144_0_36C24124D0019_0,36C24124K0144,"STAMFORD ACQUISITION I, LLC",Department of Veterans Affairs,Department of Veterans Affairs,"NURSING HOME, LONG-TERM & ADULT DAY CARE SERVICES",NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),2024-09-19,130784.47,130784.47,NOT COMPETED,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,DELIVERY ORDER
3600_-NONE-_36C24123P0949_P00001_-NONE-_0,36C24123P0949,ADVANCED STERILIZATION PRODUCTS SERVICES INC.,Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,2024-06-03,40644.94,81289.88,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26221C0014_P00004_-NONE-_0,36C26221C0014,ABBA PROJECT MANAGEMENT,Department of Veterans Affairs,Department of Veterans Affairs,OPERATION OF PARKING FACILITIES,PARKING LOTS AND GARAGES,2023-10-26,1632534.0,10810542.0,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C26222P0836_P00001_-NONE-_0,36C26222P0836,BILL HOWE PLUMBING INC.,Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT","PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",2024-05-15,-512.87,56327.13,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26222P1935_P00001_-NONE-_0,36C26222P1935,PHILIPS NORTH AMERICA LLC,Department of Veterans Affairs,Department of Veterans Affairs,LABORATORY EQUIPMENT AND SUPPLIES,"COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES",2023-11-14,0.0,4455029.35,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26224P0839_P00002_-NONE-_0,36C26224P0839,FISHER SCIENTIFIC COMPANY L.L.C.,Department of Veterans Affairs,Department of Veterans Affairs,"IN VITRO DIAGNOSTIC SUBSTANCES, REAGENTS, TEST KITS AND SETS",IN-VITRO DIAGNOSTIC SUBSTANCE MANUFACTURING,2024-04-22,103061.2,633078.75,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24223P0604_P00002_-NONE-_0,36C24223P0604,"ORKIN, LLC",Department of Veterans Affairs,Department of Veterans Affairs,HOUSEKEEPING- INSECT/RODENT CONTROL,EXTERMINATING AND PEST CONTROL SERVICES,2024-01-12,83096.04,159773.03,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26321C0097_P00005_-NONE-_0,36C26321C0097,THE UNIVERSITY OF IOWA,Department of Veterans Affairs,Department of Veterans Affairs,HEALTH R&D SERVICES; HEALTH CARE SERVICES; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",2024-07-09,2500.0,373025.0,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,DEFINITIVE CONTRACT
